
 Dialogue Num: 0 ||| Ground Truth [0], Predicted Label 1, Attention Words: <PAD> am to | am looking for a place to to stay that has cheap price range it should be in a type of hotel                      
 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: please <PAD> the | i can help you with that what is your price range stars the address please with anything else do for                      

 Dialogue Num: 2 ||| Ground Truth [0], Predicted Label 7, Attention Words: <PAD> else please | that doesn ##t matter as long as it has free wi ##fi and parking address please with anything else do for                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: <PAD> allen moderately | if you ##d like something cheap i recommend the allen ##bell for something moderately priced i would recommend the war ##k ##worth house                      

 Dialogue Num: 2 ||| Ground Truth [0], Predicted Label 2, Attention Words: priced <PAD> ##worth | could you book the war ##t ##worth for one night 1 person moderately priced i would recommend the war ##k ##worth house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: i one <PAD> | what day will you be staying for one night 1 person moderately priced i would recommend the war ##k ##worth house                      

 Dialogue Num: 2 ||| Ground Truth [0], Predicted Label 2, Attention Words: i <PAD> <PAD> | friday and can you book it for me and get a reference number priced i would recommend the war ##k ##worth house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: <PAD> <PAD> ##pt | booking was successful ##re ##ference number is b ##mu ##k ##pt ##g ##6 can i help you with anything else today house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 5, Attention Words: house <PAD> <PAD> | i am looking to book a train that is leaving from cambridge to bishops st ##ort ##ford on friday today house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: today <PAD> <PAD> | there are a number of trains leaving throughout the day what time would you like to travel friday today house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 0, Attention Words: <PAD> <PAD> would | i want to get there by 1945 at the latest time would you like to travel friday today house                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: train latest arrives | okay the latest train you can take leaves at 1729 and arrives by 1807 would you like for me to book that for you                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 0, Attention Words: would i 1807 | yes please i also need the travel time departure time and price 1807 would you like for me to book that for you                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: number ##v ##f | reference number is ui ##f ##v ##8 ##fa ##s the price is 101 gb ##p and the trip will take about 38 minutes may                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: <PAD> and ##worth | yes sorry but suddenly my plans changed can you change the war ##t ##worth booking to monday for 3 people and 4 nights                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: 3 <PAD> ##f | i have made that change and your reference number is y ##f ##86 ##ge ##4 ##j for 3 people and 4 nights                      

 Dialogue Num: 2 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: reference people <PAD> | thank you very much goodbye your reference number is y ##f ##86 ##ge ##4 ##j for 3 people and 4 nights                      

 Dialogue Num: 3 ||| Ground Truth [2], Predicted Label 6, Attention Words: <PAD> <PAD> anything | hi im looking for a train that is going to cambridge and arriving there by 204 ##5 is there anything like that                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> ##5 <PAD> | there are over 1 000 trains like that where will you be departing from 204 ##5 is there anything like that                      

 Dialogue Num: 3 ||| Ground Truth [2], Predicted Label 6, Attention Words: <PAD> <PAD> will | i am departing from birmingham new street where will you be departing from 204 ##5 is there anything like that                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> <PAD> is | can you confirm your desired travel day where will you be departing from 204 ##5 is there anything like that                      

 Dialogue Num: 3 ||| Ground Truth [2], Predicted Label 0, Attention Words: will <PAD> <PAD> | i would like to leave on wednesday where will you be departing from 204 ##5 is there anything like that                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> for <PAD> | i show a train leaving birmingham new street at 1740 and arriving at 202 ##3 on wednesday will this work for you                      

 Dialogue Num: 3 ||| Ground Truth [2], Predicted Label 6, Attention Words: <PAD> you 202 | that will yes please make a booking for 5 people please at 202 ##3 on wednesday will this work for you                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> <PAD> work | iv ##e booked your train tickets and your reference number is a ##9 ##nh ##so ##9 ##y this work for you                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: and <PAD> ##fi | thanks so much i would also need a place to say i am looking for something with 4 stars and has free wi ##fi                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: how even ##fr | how about the cambridge bel ##fr ##y it has all the attributes you requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: requested <PAD> <PAD> | that sounds great could you make a booking for me please you requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: would and please | what day would you like your booking for me please you requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 1, Attention Words: and <PAD> please | please book it for wednesday for 5 people and 5 nights please requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: a and <PAD> | booking was successful reference number is 5 ##na ##wg ##j ##dc requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 3 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: great is a | thank you goodbye number is 5 ##na ##wg ##j ##dc requested and a great name maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 5, Attention Words: name <PAD> hut | i would like a taxi from saint johns college to pizza hut fen di ##tton great name maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 5, Attention Words: maybe <PAD> you | what time do you want to leave and what time do you want to arrive by name maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 2, Attention Words: even what <PAD> | i want to leave after 1715 and what time do you want to arrive by name maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 5, Attention Words: even <PAD> <PAD> | booking completed your taxi will be blue honda contact number is 07 ##21 ##80 ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 2, Attention Words: 07 a <PAD> | thank you for all the help i appreciate it is 07 ##21 ##80 ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 2, Attention Words: a ##85 <PAD> | you are welcome is there anything else i can help you with today ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 4 ||| Ground Truth [3], Predicted Label 7, Attention Words: ##40 real today | no i am all set have a nice day bye with today ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 7, Attention Words: ##40 today real | i was robbed a few minutes ago and need assistance with today ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 2, Attention Words: ##6 with maybe | please contact the parks ##ide cambridge police station assistance with today ##6 ##85 ##40 maybe even a real bel ##fr                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 2, Attention Words: even a police | i need the address including post ##code of the police station and also the phone number maybe even a real bel ##fr                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 4, Attention Words: ##9 ##58 cb | of course their address is parks ##ide cambridge post ##code cb ##11 ##j ##g and phone number is 01 ##22 ##33 ##58 ##9 ##66                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 5, Attention Words: ##code number ##66 | thank you that ##s all i needed post ##code cb ##11 ##j ##g and phone number is 01 ##22 ##33 ##58 ##9 ##66                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 0, Attention Words: post cb ##code | you are more than welcome needed post ##code cb ##11 ##j ##g and phone number is 01 ##22 ##33 ##58 ##9 ##66                      

 Dialogue Num: 5 ||| Ground Truth [1], Predicted Label 0, Attention Words: cb ##code number | ok have a good day goodbye post ##code cb ##11 ##j ##g and phone number is 01 ##22 ##33 ##58 ##9 ##66                      

 Dialogue Num: 6 ||| Ground Truth [0], Predicted Label 5, Attention Words: number ##58 ##33 | hi im looking for a hotel in the east the internet is not needed phone number is 01 ##22 ##33 ##58 ##9 ##66                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: do price that | there are no hotels that do not have internet but 7 which do have it do you have a specific price range you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0], Predicted Label 2, Attention Words: 7 it do | no but it should have free parking please but 7 which do have it do you have a specific price range you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: range the area | the express by holiday inn cambridge is in the area and has free parking would you like more information price range you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0], Predicted Label 2, Attention Words: like you ##d | is that a guest ##house or a hotel id really prefer a guest ##house you like more information price range you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: ##d hotel a | its a hotel there are 5 guest ##houses in the area do you prefer cheap or moderate for the price range you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0], Predicted Label 7, Attention Words: <PAD> ##d price | the price doesn ##t really matter i just need free parking it doesn ##t really need to have internet though you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: <PAD> <PAD> though | there are 5 guest ##houses that have free parking should i book one of them for you internet though you ##d                      

 Dialogue Num: 6 ||| Ground Truth [0], Predicted Label 4, Attention Words: that address wi | okay none of them don ##t offer free wi ##fi if not ill need the address for one that does have wi ##fi please                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: the guest east | the allen ##bell is a guest ##house on the east the add ##res sis 51 ##7 ##a cold ##ham lane post code cb ##13                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: lane <PAD> ##ham | great can you help me with a train as well im looking to come in from ely ##ham lane post code cb ##13                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: post lane <PAD> | what is your destination and do you have any preference for day departure or arrival time ##ham lane post code cb ##13                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: cb for <PAD> | i want to go from cambridge to ely no preference for time but i need to book for 8 people code cb ##13                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> you do | there are trains that run every two hours every day starting at 550 do you know what day you ##d like to travel                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 0, Attention Words: <PAD> you please | im looking for wednesday arrive by 113 ##0 for 8 people please do you know what day you ##d like to travel                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: successful station pay | booking was successful the total fee is 352 gb ##p pay ##able at the station you reference number is 7 ##z ##c ##vr ##4                      

 Dialogue Num: 6 ||| Ground Truth [0 2], Predicted Label 1, Attention Words: is bye no | no i don ##t need anything else right now thank you for your assistance good bye number is 7 ##z ##c ##vr ##4                      

 Dialogue Num: 7 ||| Ground Truth [2], Predicted Label 4, Attention Words: good is 211 | i need to take a train from norwich leaving after 211 ##5 assistance good bye number is 7 ##z ##c ##vr ##4                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 0, Attention Words: bye ##z after | where would you like to go to leaving after 211 ##5 assistance good bye number is 7 ##z ##c ##vr ##4                      

 Dialogue Num: 7 ||| Ground Truth [2], Predicted Label 2, Attention Words: bye 211 ##z | i would like to go to ely please after 211 ##5 assistance good bye number is 7 ##z ##c ##vr ##4                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 6, Attention Words: <PAD> ely departure | i don ##t have any listings for trains leaving norwich and arriving in ely would you like to try a different departure station                      

 Dialogue Num: 7 ||| Ground Truth [2], Predicted Label 6, Attention Words: <PAD> try on | i meant cambridge please i would like to arrive in cambridge on monday after 211 ##5 to try a different departure station                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 5, Attention Words: a <PAD> ##5 | ok i will book that for you and get you a confirmation number 211 ##5 to try a different departure station                      

 Dialogue Num: 7 ||| Ground Truth [2], Predicted Label 4, Attention Words: price train a | i don ##t need anything booked i just need to get the arrival time travel time and price of a train from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: norwich 243 ##5 | there are trains arriving at 223 ##5 233 ##5 and 243 ##5 they are 1760 pounds and 79 minutes each from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: to norwich great | great thanks im also looking for a 4 star hotel in the north can you please help with that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: that to <PAD> | there are several that meet your criteria is there a price range you are interested in with that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 1, Attention Words: are <PAD> from | i would like to keep it in the moderate range please you are interested in with that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: <PAD> to from | i see 7 options they are all guest ##houses do you have preferences for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: have norwich <PAD> | i do not have a preference on those things you have preferences for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: <PAD> preferences norwich | shall i try to start and book you into one have preferences for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: <PAD> to <PAD> | please book it and provide the reference number one have preferences for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 7, Attention Words: <PAD> <PAD> <PAD> | how many nights will you be staying one have preferences for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: internet norwich <PAD> | please book the hotel for 4 people and 2 nights thank you for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: <PAD> to <PAD> | what day will you be arriving and 2 nights thank you for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: parking <PAD> nights | the same day monday please and 2 nights thank you for internet and parking that from norwich to                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 4, Attention Words: ##orn house ac | i apologize some of our new workers have ph ##ob ##ias of the booking system i booked you at ac ##orn guest house the                      

 Dialogue Num: 7 ||| Ground Truth [0 2], Predicted Label 2, Attention Words: booking i <PAD> | that ##s all i need for today thanks for your help the booking system i booked you at ac ##orn guest house the                      

 Dialogue Num: 8 ||| Ground Truth [4], Predicted Label 4, Attention Words: want planning trip | i am planning a trip to town and want to sight see a bit can you let me know some attractions i may be                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: the you specific | there are 79 attractions in the city do you have a specific type of attraction or specific area of the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4], Predicted Label 0, Attention Words: you of have | id like something in the centre do you have a specific type of attraction or specific area of the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 0, Attention Words: attraction <PAD> free | great how about all saints church it has fantastic architecture and free entrance would you like more information the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 0, Attention Words: attraction around the | could i get the address for it i would also like an expensive place to eat around it the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: eat around it | the address is jesus lane what type of food would you like to eat eat around it the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: the it food | im in the mood for caribbean food food would you like to eat eat around it the attraction that you are                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: that you cuisine | unfortunately there are no expensive caribbean restaurants in that area would you like me to check a different type of cuisine or another area                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: is attraction i | yes i also love turkish food is there something in the center that ##s expensive also what type of attraction is all saints church                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: in <PAD> <PAD> | the me ##ze bar restaurant is an expensive turkish restaurant in the city centre the all saints church is an architecture attraction church                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: please <PAD> saints | can i have the phone number address and post ##code for the restaurant please all saints church is an architecture attraction church                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: is code road | i don ##t have a phone number available but the address is 196 mill road city centre postal code cb ##13 ##n ##f anything                      

 Dialogue Num: 8 ||| Ground Truth [4 5], Predicted Label 5, Attention Words: mill code city | great that ##s all that i needed to know thank you 196 mill road city centre postal code cb ##13 ##n ##f anything                      

 Dialogue Num: 9 ||| Ground Truth [6], Predicted Label 5, Attention Words: mill iv city | iv ##e been injured and need to find a hospital nearby 196 mill road city centre postal code cb ##13 ##n ##f anything                      

 Dialogue Num: 9 ||| Ground Truth [6], Predicted Label 4, Attention Words: the ##n are | the add ##en ##brook ##es hospital is located at hills rd cambridge are you looking for a specific department ##13 ##n ##f anything                      

 Dialogue Num: 9 ||| Ground Truth [6], Predicted Label 5, Attention Words: ##f cambridge ##n | no i just need the general phone number please rd cambridge are you looking for a specific department ##13 ##n ##f anything                      

 Dialogue Num: 9 ||| Ground Truth [6], Predicted Label 5, Attention Words: a ##f for | 01 ##22 ##32 ##45 ##15 ##1 is the number do you need anything else for a specific department ##13 ##n ##f anything                      

 Dialogue Num: 9 ||| Ground Truth [6], Predicted Label 7, Attention Words: specific anything the | thank you that will do is the number do you need anything else for a specific department ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2], Predicted Label 6, Attention Words: ##f department cambridge | i need to take a train out of cambridge i will be leaving town on wednesday specific department ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: ##13 ##f there | there are 5 trains out of cambridge on wednesday do you have a departure time in mind department ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2], Predicted Label 5, Attention Words: ##f ##n id | id like to go to peterborough and leave after 124 ##5 i have to attend a meeting beforehand ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 6, Attention Words: ##f anything beforehand | tr ##18 ##7 ##9 leaves at 130 ##6 on wednesday will that work for you meeting beforehand ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2], Predicted Label 6, Attention Words: ##n anything <PAD> | what is the price of the fair and could you tell me what is the arrival time into peterborough ##13 ##n ##f anything                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 4, Attention Words: peterborough would by | the price is 1650 pounds and the train will arrive in peterborough by 135 ##6 wednesday would you like me to book a ticket                      

 Dialogue Num: 10 ||| Ground Truth [2], Predicted Label 6, Attention Words: 135 you one | yes one ticket please can i also get the reference number by 135 ##6 wednesday would you like me to book a ticket                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 4, Attention Words: ##6 ##7 tr | i booked you one seat on tr ##18 ##7 ##9 departing cambridge for peterborough on wednesday at 130 ##6 reference xu ##1 ##q ##l                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 0, Attention Words: <PAD> <PAD> give | i am also looking for a museum in centre could you give me the address post ##code and phone number of one                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 4, Attention Words: 98 <PAD> ##code | the broughton house gallery is located at 98 king street post ##code cb ##11 ##ln their phone number is 01 ##22 ##33 ##14 ##9                      

 Dialogue Num: 10 ||| Ground Truth [2 4], Predicted Label 7, Attention Words: their ##14 <PAD> | that ##s all i need right now thanks you have been very helpful ##ln their phone number is 01 ##22 ##33 ##14 ##9                      

 Dialogue Num: 11 ||| Ground Truth [6], Predicted Label 5, Attention Words: number ##14 looking | i am looking in town for a hospital with a pa ##ed ##ia ##tric clinic phone number is 01 ##22 ##33 ##14 ##9                      

 Dialogue Num: 11 ||| Ground Truth [6], Predicted Label 4, Attention Words: ##33 ##9 ##tric | add ##en ##brook ##es ho ##sp ##tial on hills rd in cambridge has a pa ##ed ##ia ##tric clinic ##22 ##33 ##14 ##9                      

 Dialogue Num: 11 ||| Ground Truth [6], Predicted Label 5, Attention Words: has ##14 ##ia | i need the address and phone number and postal code cambridge has a pa ##ed ##ia ##tric clinic ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4], Predicted Label 0, Attention Words: ##14 ##tric i | i was hoping to see local places while in cambridge some entertainment would be great ##ia ##tric clinic ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 1, Attention Words: ##9 would clinic | i got 5 options which side is okay for you entertainment would be great ##ia ##tric clinic ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4], Predicted Label 0, Attention Words: clinic matter ##9 | it doesn ##t matter can i have the address of a good one great ##ia ##tric clinic ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 0, Attention Words: ##33 ##14 <PAD> | how about funky fun house they are located at 8 mercer ##s row mercer ##s row industrial estate ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4], Predicted Label 7, Attention Words: row ##14 ##9 | could i also get the phone number and post ##code ##s row mercer ##s row industrial estate ##22 ##33 ##14 ##9                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: <PAD> ##5 the | sure the phone number is 01 ##22 ##33 ##0 ##47 ##0 ##5 and the post ##code is cb ##58 ##hy is there anything else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 5, Attention Words: cb <PAD> the | yes i need a rest ##ua ##rant i want something on the south side expensive is cb ##58 ##hy is there anything else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 5, Attention Words: south ##58 would | there are many what kind of food would you like the south side expensive is cb ##58 ##hy is there anything else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: is is ##58 | indian food is my favorite what ##s the address for the best one expensive is cb ##58 ##hy is there anything else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: in <PAD> any | unfortunately there aren ##t any indian restaurants in the south side of town would you like me to look in other areas else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: <PAD> other in | could you check one more time restaurant in the south part of town expensive that serves indian food in other areas else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: <PAD> areas other | im sorry there doesn ##t seem to be any expensive indian restaurants to the south indian food in other areas else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: areas <PAD> indian | can you check again for a 3rd time i really want to eat indian food indian food in other areas else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 5, Attention Words: <PAD> same south | please stop asking to check for the same thing i have said there is none in the south try a different area else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: in the <PAD> | do you have any indian restaurants in the south in a different price range in the south try a different area else                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 4, Attention Words: attitude the of | hi this is the supervisor i apologize for the attitude of our staff we do have ta ##j tan ##door ##i and expensive indian                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 5, Attention Words: attitude of address | thank you may i have the address the attitude of our staff we do have ta ##j tan ##door ##i and expensive indian                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 3, Attention Words: and ##i ##on | the address is 64 cherry hint ##on road cherry hint ##on can i help you with anything else today ##i and expensive indian                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 2, Attention Words: expensive ##i all | that ##s all i need thanks so much for all of your help have a great day today ##i and expensive indian                      

 Dialogue Num: 12 ||| Ground Truth [4 5], Predicted Label 7, Attention Words: thanks indian and | you are welcome need thanks so much for all of your help have a great day today ##i and expensive indian                      

